period,labor_productivity,output,hours_worked,hourly_compensation,real_hourly_compensation,unit_labor_costs
2024-Q1,0.2,0.2,0.0,5.8,2.0,5.5
2024-Q2,3.7,4.0,0.3,4.8,2.0,1.1
2024-Q3,3.7,3.9,0.2,4.8,3.5,1.1
2024-Q4,1.4,1.7,0.3,4.4,1.1,2.9
2025-Q1,-0.9,-0.9,0.0,6.3,2.5,7.3
2025-Q2,4.2,5.2,1.0,1.2,-0.5,-2.9
2025-Q3,5.2,5.4,0.2,6.2,3.0,1.0
2025-Q4,1.6,1.3,-0.2,3.7,1.2,2.1
2026-Q1,0.8,1.5,0.7,2.1,-1.4,1.3
2026-Q2,1.4,1.7,0.3,2.7,-3.1,1.3
